"variable","drop","month","coef","significant","ci_lower","ci_upper","Sample.HT","quarter","group","Response"
"TAVG",".mean","APR...JUN",0.16734670286001,TRUE,0.0285832990176102,0.32106284448397,1.4,"AMJ","High","EWD"
"TAVG",".mean","JUL...SEP",-0.0621561508685531,FALSE,-0.267325196996083,0.116953510159209,1.4,"JAS","High","EWD"
"TAVG",".mean","oct...SEP",0.0519134732296326,FALSE,-0.014990033182606,0.113636301395757,1.4,"Annual","High","EWD"
"TAVG",".mean","oct...dec",-0.00856642946463246,FALSE,-0.187998273714369,0.235622879221438,1.4,"ond","Low","MXD"
"TAVG",".mean","JAN...MAR",-0.0824100984205722,FALSE,-0.308488284289655,0.163430359348601,1.4,"JFM","Low","MXD"
"TAVG",".mean","APR...JUN",0.0757610205558479,FALSE,-0.115301502472909,0.250784661816991,1.4,"AMJ","Low","MXD"
"TAVG",".mean","JUL...SEP",0.144769021470515,FALSE,-0.0689715747083195,0.361181372697478,1.4,"JAS","Low","MXD"
"TAVG",".mean","oct...SEP",0.0205315183130134,FALSE,-0.043899708281284,0.091608287180057,1.4,"Annual","Low","MXD"
"TAVG",".mean","oct...dec",-0.0384364258395574,FALSE,-0.229405193886869,0.214316143208971,1.4,"ond","Mid","MXD"
"TAVG",".mean","JAN...MAR",-0.101958893576926,FALSE,-0.355028306275666,0.194145013937484,1.4,"JFM","Mid","MXD"
"TAVG",".mean","APR...JUN",0.110797629635956,FALSE,-0.113532831183193,0.296549845705489,1.4,"AMJ","Mid","MXD"
"TAVG",".mean","JUL...SEP",0.0906149127615129,FALSE,-0.128109462001326,0.320261328150003,1.4,"JAS","Mid","MXD"
"TAVG",".mean","oct...SEP",0.00299973092902561,FALSE,-0.0812126864919298,0.0792261447501732,1.4,"Annual","Mid","MXD"
"TAVG",".mean","oct...dec",-0.11913169912804,FALSE,-0.326460655733809,0.0997530687886211,1.4,"ond","High","MXD"
"TAVG",".mean","JAN...MAR",0.111370255876452,FALSE,-0.124179738148319,0.332060752091836,1.4,"JFM","High","MXD"
"TAVG",".mean","APR...JUN",0.0986276041604803,FALSE,-0.113690524663767,0.314958538734182,1.4,"AMJ","High","MXD"
"TAVG",".mean","JUL...SEP",-0.1496341302421,FALSE,-0.409447863915565,0.0892294900871966,1.4,"JAS","High","MXD"
"TAVG",".mean","oct...SEP",0.0122841490308632,FALSE,-0.0511390312962455,0.0759809280113875,1.4,"Annual","High","MXD"
